description,PI,V,T,parameters
"kla-explore=1-W=2,bootstrap=1",29.000000,0.322835,43.046272,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",30.000000,0.024280,45.491551,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",30.000000,2.740273,53.860851,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",30.000000,-0.018143,42.535248,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",30.000000,0.129470,45.577195,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",1.000000,-0.032220,0.516913,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",1.000000,0.652836,0.518092,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",1.000000,1.713236,0.486606,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",1.000000,-0.000527,0.511003,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",2.000000,0.095744,1.316841,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",2.000000,0.404297,1.253635,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",2.000000,1.054234,1.269696,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",2.000000,-0.051842,1.329826,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",3.000000,0.026587,2.025238,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",3.000000,0.779825,2.005598,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",3.000000,2.618797,2.016862,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",3.000000,-0.017038,2.113848,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",4.000000,0.089492,2.698824,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",4.000000,1.134921,2.724833,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",4.000000,3.603705,2.679776,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",4.000000,0.107883,2.817378,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",5.000000,0.175506,3.357467,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",5.000000,2.174405,3.524025,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",5.000000,4.516975,3.452760,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",5.000000,-0.072368,3.536313,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",6.000000,0.160395,4.139909,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",6.000000,1.858445,4.344180,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",6.000000,3.143302,4.304537,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",6.000000,-0.054761,4.319785,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",7.000000,0.150498,4.936729,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",7.000000,1.372499,5.152971,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",7.000000,3.408097,5.182307,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",7.000000,0.011729,5.032500,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",8.000000,0.085375,5.714523,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",8.000000,1.502242,5.978695,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",8.000000,3.976705,6.087758,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
"kla-explore=1-W=2,bootstrap=1",8.000000,0.022254,5.802257,"{ N=30, M=90, T=4, v_basis=1a, W=2, explore=1, bootstrap=1 }"
